,BHK,Rent,Size,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,FloorNo,TotalFloor
689,2,18000,1450,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,2
690,1,12000,600,Super Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,3,3
691,1,7000,400,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
692,1,7500,600,Carpet Area,Bangalore,Unfurnished,Bachelors,1,Contact Owner,Ground,2
693,2,14000,1100,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,2
694,2,15000,700,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,2
695,1,5500,600,Carpet Area,Bangalore,Unfurnished,Bachelors,1,Contact Owner,1,2
696,2,10000,700,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
697,1,7000,250,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,4
698,2,11500,1200,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,3
699,2,19000,1221,Carpet Area,Bangalore,Unfurnished,Bachelors,2,Contact Owner,2,5
700,2,15000,1250,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,4
701,2,10500,700,Carpet Area,Bangalore,Semi-Furnished,Family,1,Contact Owner,Ground,2
702,2,12000,700,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,2
703,1,7000,200,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,3
704,2,15000,1200,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,1
705,1,6500,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3,5
706,2,12000,900,Carpet Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,2
707,2,10000,1000,Super Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner,2,2
708,2,12500,500,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,2
709,1,8000,416,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,19,20
710,2,10500,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3,5
711,1,6000,400,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1,3
712,3,16000,1200,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,3
713,1,6000,500,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,2
714,1,5000,500,Super Area,Bangalore,Semi-Furnished,Family,1,Contact Owner,1,4
715,3,14000,1800,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,5,7
716,1,11000,550,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,3,4
717,1,5500,600,Super Area,Bangalore,Unfurnished,Bachelors,1,Contact Owner,1,2
718,2,15000,976,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
719,1,8500,350,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,3
720,2,15000,1100,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,2
721,2,12000,500,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
722,1,7500,600,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,3,3
723,2,16000,1100,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,4
724,2,14500,850,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,Ground,3
725,1,6000,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,2
726,2,14000,900,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Agent,4,5
727,1,7000,300,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,4
728,2,18000,1200,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,3
729,2,10000,1000,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
730,2,15000,1100,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,2,4
731,1,11000,300,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,4
732,1,4500,600,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,3
733,1,10000,1000,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,2
734,2,10000,1200,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1,2
735,1,9000,500,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,3
736,2,16000,1050,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
737,1,5000,350,Carpet Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,2,2
738,2,10000,1000,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
739,1,15000,600,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,3,5
740,1,3500,150,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
741,2,16000,1400,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1,2
742,2,17000,1387,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,Ground,4
743,2,12000,1020,Carpet Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1,4
744,1,9000,600,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,4
745,1,6000,400,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3,4
746,2,15000,800,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1,5
747,1,9000,800,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,3
748,2,17000,800,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,Ground,4
749,2,16500,1200,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,3
750,1,7000,450,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,2,4
751,2,8500,720,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,4
752,1,8000,700,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,3
753,1,7000,500,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
754,2,10000,600,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,4,5
755,1,5000,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
756,1,6500,450,Super Area,Bangalore,Unfurnished,Bachelors,1,Contact Owner,1,4
757,1,10000,650,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,4,4
758,1,18000,400,Carpet Area,Bangalore,Unfurnished,Bachelors,1,Contact Agent,Ground,3
759,1,16500,600,Carpet Area,Bangalore,Unfurnished,Bachelors,1,Contact Agent,4,5
760,1,15000,600,Super Area,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,3,3
761,2,15000,1000,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,2
762,2,9750,575,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner,Ground,2
763,2,12000,850,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3,4
764,2,11000,1000,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,4
765,2,12000,800,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
766,1,11000,450,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,1,4
767,2,19000,1350,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,2
768,2,10000,1350,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,1
769,1,7500,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3,4
770,2,11000,1080,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3,5
771,2,13500,700,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,2,3
772,2,16500,1200,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,4
773,1,7000,500,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,4
774,2,10000,850,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,3
775,1,7000,400,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
776,1,18000,800,Super Area,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,Ground,2
777,1,11000,600,Super Area,Bangalore,Semi-Furnished,Family,1,Contact Owner,2,4
778,1,9000,450,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
779,2,12500,650,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3,4
780,2,16000,1100,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,4
781,2,17000,1100,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Agent,1,4
782,1,8000,350,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
783,2,16500,1050,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,Ground,2
784,2,13000,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,3
785,2,12000,800,Super Area,Bangalore,Semi-Furnished,Family,2,Contact Owner,1,1
786,2,17000,700,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,5
787,3,15000,750,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,2
788,2,13000,1180,Carpet Area,Bangalore,Semi-Furnished,Family,2,Contact Owner,1,3
789,2,12000,1400,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,4
790,1,10000,750,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,5
791,2,9000,580,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,Ground,3
792,1,6000,350,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,1
793,2,8900,1100,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,2
794,2,18500,1080,Carpet Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,3,12
795,2,16000,1281,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,5
796,1,8000,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,3
797,2,15000,850,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,3
798,2,17000,900,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,4,5
799,2,14000,800,Carpet Area,Bangalore,Unfurnished,Bachelors,2,Contact Owner,3,3
800,1,5000,500,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,3
801,2,8000,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,3
802,2,15000,750,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,4
803,2,11000,1200,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,2
804,2,8500,440,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2,4
805,2,15000,1200,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,3,4
806,2,11000,950,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,3
807,2,11000,800,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,4
808,2,9000,1000,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
809,2,15000,800,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,4
810,1,7000,400,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,2
811,1,5000,144,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,1
812,1,18000,600,Super Area,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,2,4
813,2,10000,1200,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,1
814,2,15000,1180,Super Area,Bangalore,Semi-Furnished,Family,2,Contact Owner,Ground,5
815,2,11000,900,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,3
816,1,7500,500,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
817,2,17000,1100,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
818,1,6000,400,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3,4
819,2,18000,600,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,2
820,2,13000,780,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,1,3
821,1,7500,400,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,3,4
822,1,9000,500,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,4
823,3,18000,1100,Carpet Area,Bangalore,Semi-Furnished,Bachelors,3,Contact Owner,11,18
824,1,6500,700,Super Area,Bangalore,Unfurnished,Bachelors,1,Contact Owner,1,4
825,2,6000,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,3
826,2,18000,1200,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3,10
827,2,12000,900,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,4
828,2,8000,1200,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,3
829,2,11000,600,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,2,4
830,1,6000,400,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,4,5
831,1,11000,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,3
832,1,5500,600,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,3
833,3,12000,1100,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,6,7
834,2,9300,500,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,2,4
835,1,6000,600,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,2
836,2,13000,650,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1,4
837,1,7000,300,Carpet Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,3,3
838,2,14000,1000,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1,4
839,2,14000,1200,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,3
840,1,6000,650,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,6
841,1,12500,600,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1,1
842,1,7000,400,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,2,7
843,2,13000,1000,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2,3
844,1,6000,600,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,3,3
845,2,15000,800,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,6
846,2,17000,1060,Carpet Area,Bangalore,Unfurnished,Bachelors,2,Contact Owner,1,5
847,2,18000,1000,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Agent,2,3
848,2,10000,800,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,5
849,2,8000,500,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
850,2,9500,700,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,4
851,2,9000,1055,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Agent,Ground,1
852,2,14000,950,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,2,4
853,1,7000,450,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,4
854,1,8000,400,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,3
855,2,12000,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,2
856,1,5000,500,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
857,1,6000,400,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,3,4
858,2,12000,650,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,4
859,2,15000,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,3
860,2,14000,800,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,1,3
861,1,12000,500,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
862,2,15000,825,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,2
863,2,9500,700,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,6
864,2,15000,1110,Carpet Area,Bangalore,Unfurnished,Bachelors,2,Contact Owner,1,2
865,2,15000,800,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,4
866,2,10000,810,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,2
867,4,15000,1150,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,Ground,3
868,1,7000,700,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3,4
869,1,10000,300,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
870,1,8000,450,Carpet Area,Bangalore,Unfurnished,Bachelors,1,Contact Owner,2,3
871,1,6500,200,Super Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,4,4
872,1,10000,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
873,1,6000,150,Super Area,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,3,4
874,2,13000,750,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,4
875,2,18000,1300,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,4
876,2,10000,300,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,4
877,1,15000,700,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,4
878,2,19000,894,Carpet Area,Bangalore,Unfurnished,Bachelors,2,Contact Owner,3,4
879,2,9000,600,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1,4
880,1,5000,500,Super Area,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,Ground,2
881,2,16000,850,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,3
882,1,12000,400,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3,3
883,1,7000,500,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
884,1,11000,550,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,2
885,1,13500,450,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,Ground,4
886,1,17000,430,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,4,5
887,1,13000,500,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,4,5
888,2,11000,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,5
889,2,16000,805,Carpet Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,5,6
890,2,8500,1000,Carpet Area,Bangalore,Unfurnished,Bachelors,2,Contact Agent,1,1
891,2,15000,1000,Carpet Area,Bangalore,Unfurnished,Bachelors,2,Contact Owner,1,3
892,3,15000,800,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,Ground,3
893,2,10000,1000,Carpet Area,Bangalore,Unfurnished,Bachelors,1,Contact Owner,Ground,2
894,2,12500,800,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2,3
895,2,19000,800,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1,4
896,1,9000,700,Super Area,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,Ground,4
897,2,5500,500,Super Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,7,10
898,1,15000,500,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,3
899,2,14000,900,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,4
900,2,14000,1000,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,2
901,1,15000,900,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
902,1,6000,300,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
903,1,5000,400,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1,2
904,1,10000,550,Super Area,Bangalore,Semi-Furnished,Family,1,Contact Owner,1,4
905,1,15000,400,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1,5
906,1,5000,500,Super Area,Bangalore,Unfurnished,Family,1,Contact Owner,1,2
907,3,17000,1200,Super Area,Bangalore,Unfurnished,Bachelors/Family,3,Contact Owner,2,2
908,2,14000,1300,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,4
909,2,16000,800,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,1,4
910,1,10000,400,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,2
911,2,12000,800,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
912,2,10500,1000,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,3
913,1,8000,400,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,5
914,2,15000,1100,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Agent,Ground,5
915,2,9000,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,2
916,2,14000,1100,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1,3
917,2,12000,700,Carpet Area,Bangalore,Semi-Furnished,Family,1,Contact Owner,1,2
918,2,10000,110,Carpet Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1,1
919,2,16000,800,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,4
920,1,7000,900,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3,4
921,1,19000,625,Carpet Area,Bangalore,Unfurnished,Bachelors,1,Contact Agent,2,4
922,2,11000,600,Super Area,Bangalore,Furnished,Bachelors,1,Contact Owner,Ground,3
923,2,18000,1200,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3,4
924,1,4300,300,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,2,4
925,2,9000,900,Super Area,Bangalore,Furnished,Family,1,Contact Owner,2,4
926,1,7000,450,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
927,2,15000,1050,Carpet Area,Bangalore,Semi-Furnished,Family,2,Contact Owner,2,2
928,1,4800,580,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,1
929,2,15000,600,Carpet Area,Bangalore,Unfurnished,Bachelors,2,Contact Owner,Ground,3
930,1,18000,550,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,3,6
931,1,9500,300,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,3
932,2,12000,1200,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,3
933,1,9000,900,Carpet Area,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,3,5
934,1,9000,400,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
935,2,11000,900,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3,4
936,1,12500,500,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,Ground,3
937,3,17681,1110,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3,5
938,2,13000,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,2
939,2,8000,200,Carpet Area,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,2,2
940,1,8000,750,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,Ground,3
941,2,10000,850,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,2,4
942,1,11500,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3,4
943,2,6000,660,Super Area,Bangalore,Unfurnished,Bachelors,1,Contact Owner,2,3
944,2,11000,600,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
945,1,4000,250,Super Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,2,3
946,2,14000,1200,Super Area,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,Ground,2
947,2,11000,840,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
948,2,10000,500,Carpet Area,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,Upper Basement,4
949,2,12000,775,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,2,3
950,2,18000,1000,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3,4
951,2,17500,900,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,Ground,2
952,1,6500,500,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,5
953,1,16000,550,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,2,5
954,1,6500,150,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,2
955,1,9000,445,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,1,3
956,2,8500,500,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2,3
957,1,8000,500,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1,3
958,1,8500,730,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2,4
959,2,12500,750,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1,4
960,1,8000,600,Super Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3,4
961,2,18000,1190,Carpet Area,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner,3,4
962,1,15000,435,Carpet Area,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,2,5
